spkid   , full_name             , pdes, name   , pha  , H    , diameter_km      , diameter_m, diameter_is_estimated, size_category               , albedo, rot_per, class, e     , a    , i    , q    , ad  , per   , per_y, moid_au, moid_km   , moid_lunar_distances, n     , condition_code, first_obs , last_obs  , data_arc, data_arc_years
20000433, 433 Eros (A898 PA)    ,  433, Eros   , False, 10.39, 16.84            ,    16840.0, False                , Large (>1 km) — City killer+,  0.25 ,   5.27 , AMO  , 0.2228, 1.458, 10.83, 1.133, 1.78,  643.0,  1.76,  0.148 , 22140485.0,                57.6 , 0.5598,            0.0, 1893-10-29, 2021-05-13,  46582.0,         127.53
20000719, 719 Albert (A911 TB)  ,  719, Albert , False, 15.59,  2.70682988748206,     2706.8, True                 , Large (>1 km) — City killer+,       ,   5.801, AMO  , 0.5466, 2.637, 11.57, 1.195, 4.08, 1560.0,  4.28,  0.201 , 30069172.0,                78.22, 0.2302,            0.0, 1911-10-04, 2026-03-20,  41806.0,         114.46
20000887, 887 Alinda (A918 AA)  ,  887, Alinda , False, 13.82,  4.2             ,     4200.0, False                , Large (>1 km) — City killer+,  0.31 ,  28.41 , AMO  , 0.5712, 2.474,  9.4 , 1.061, 3.89, 1420.0,  3.89,  0.0797, 11922950.0,                31.02, 0.2533,            0.0, 1918-02-09, 2025-08-27,  39281.0,         107.55
20001036, 1036 Ganymed (A924 UB), 1036, Ganymed, False,  9.17, 37.675           ,    37675.0, False                , Large (>1 km) — City killer+,  0.238,  10.297, AMO  , 0.5332, 2.665, 26.68, 1.244, 4.09, 1590.0,  4.35,  0.343 , 51312070.0,               133.49, 0.2266,            0.0, 1924-10-23, 2026-03-22,  37040.0,         101.41
20001221, 1221 Amor (1932 EA1)  , 1221, Amor   , False, 17.37,  1.0             ,     1000.0, False                , Large (>1 km) — City killer+,       ,        , AMO  , 0.4346, 1.92 , 11.87, 1.085, 2.75,  972.0,  2.66,  0.108 , 16156570.0,                42.03, 0.3705,            0.0, 1932-03-12, 2025-02-19,  33947.0,          92.94
