ProdID,UPC,Category,Brand,Model,Model Description,Size,Color,MSRP,MAP,Each Cost,Manufacturer Prod,COO,Discontinued,UOM,Weight,Length,Width,Height,ORMD,Product Description,Replacement,Substitute,Recently Updated,
BK0065,708752141049,Mountain Bike,Surly,K3818,Lowside Bike - Rainbow in the Dark,,Rainbow in the ,1200.00,1200.00,820.00,,TW,No,EA,39.00,56.00,8.00,31.00,No,Surly Lowside Complete Bike: X-Small Rainbow in the Dark,,,,
BK0066,708752140998,Mountain Bike,Surly,K3818,Lowside Bike - Rainbow in the Dark,,Rainbow in the ,1200.00,1200.00,820.00,,TW,No,EA,39.00,56.00,8.00,31.00,No,Surly Lowside Complete Bike: Small Rainbow in the Dark,,,2018-04-28,
BK0067,708752140943,Mountain Bike,Surly,K3818,Lowside Bike - Rainbow in the Dark,,Rainbow in the ,1200.00,1200.00,820.00,,TW,No,EA,39.00,56.00,8.00,31.00,No,Surly Lowside Complete Bike: Medium Rainbow in the Dark,,,,
BK0068,708752140899,Mountain Bike,Surly,K3818,Lowside Bike - Rainbow in the Dark,,Rainbow in the ,1200.00,1200.00,820.00,,TW,No,EA,39.00,56.00,8.00,31.00,No,Surly Lowside Complete Bike: Large Rainbow in the Dark,,,,
BK0069,708752140844,Mountain Bike,Surly,K3818,Lowside Bike - Rainbow in the Dark,,Rainbow in the ,1200.00,1200.00,820.00,,TW,No,EA,39.00,56.00,8.00,31.00,No,Surly Lowside Complete Bike: X-Large Rainbow in the Dark,,,2018-04-28,
BK0270,,Cyclocross Bike,Surly,K4479,Cross Check Black,,Black,1149.00,1149.00,780.00,,TW,No,,34.50,54.00,8.00,32.00,No,Surly Cross Check Complete Bike 42cm Black,,,,
BK0271,,Cyclocross Bike,Surly,K4479,Cross Check Black,,Black,1149.00,1149.00,780.00,,TW,No,,34.50,54.00,8.00,32.00,No,Surly Cross Check Complete Bike 46cm Black,,,2018-04-26,
BK0272,,Cyclocross Bike,Surly,K4479,Cross Check Black,,Black,1149.00,1149.00,780.00,,TW,No,,34.50,54.00,8.00,32.00,No,Surly Cross Check Complete Bike 50cm Black,,,,
BK0273,,Cyclocross Bike,Surly,K4479,Cross Check Black,,Black,1149.00,1149.00,780.00,,TW,No,,34.80,52.50,8.00,30.50,No,Surly Cross Check Complete Bike 52cm Black,,,,
BK0274,,Cyclocross Bike,Surly,K4479,Cross Check Black,,Black,1149.00,1149.00,780.00,,TW,No,,34.50,54.00,8.00,32.00,No,Surly Cross Check Complete Bike 54cm Black,,,,
BK0275,,Cyclocross Bike,Surly,K4479,Cross Check Black,,Black,1149.00,1149.00,780.00,,TW,No,,34.50,54.00,8.00,32.00,No,Surly Cross Check Complete Bike 56cm Black,,,,
BK0276,,Cyclocross Bike,Surly,K4479,Cross Check Black,,Black,1149.00,1149.00,780.00,,TW,No,,34.50,54.00,8.00,32.00,No,Surly Cross Check Complete Bike 58cm Black,,,,
BK0277,,Cyclocross Bike,Surly,K4479,Cross Check Black,,Black,1149.00,1149.00,780.00,,TW,No,,34.50,54.00,8.00,32.00,No,Surly Cross Check Complete Bike 60cm Black,,,,
BK0278,,Cyclocross Bike,Surly,K4479,Cross Check Black,,Black,1149.00,1149.00,780.00,,TW,No,,34.50,54.00,8.00,32.00,No,Surly Cross Check Complete Bike 62cm Black,,,,
BK0279,,Cyclocross Bike,Surly,K4479,Cross Check Black,,Black,1149.00,1149.00,780.00,,TW,No,,34.50,54.00,8.00,32.00,No,Surly Cross Check Complete Bike 64cm Black,,,,
BK0370,708752244276,Mountain Bike,Surly,K6847,Krampus Complete Bike - Pickled Beet ,,Pickled Beet ,1499.00,1499.00,1020.00,,TW,No,EA,42.50,60.00,32.00,11.00,No,Surly Krampus Bike SM Pickled Beet Red,,,,
BK0371,708752244412,Mountain Bike,Surly,K6847,Krampus Complete Bike - Pickled Beet ,,Pickled Beet ,1499.00,1499.00,1020.00,,TW,No,EA,42.50,60.00,32.00,11.00,No,Surly Krampus Bike MD Pickled Beet Red,,,,
BK0372,708752244559,Mountain Bike,Surly,K6847,Krampus Complete Bike - Pickled Beet ,,Pickled Beet ,1499.00,1499.00,1020.00,,TW,No,EA,42.50,60.00,32.00,11.00,No,Surly Krampus Bike LG Pickled Beet Red,,,,
BK0373,708752244696,Mountain Bike,Surly,K6847,Krampus Complete Bike - Pickled Beet ,,Pickled Beet ,1499.00,1499.00,1020.00,,TW,No,EA,42.50,60.00,32.00,11.00,No,Surly Krampus Bike XL Pickled Beet Red,,,,
BK0538,708752130456,Cyclocross Bike,Surly,K3205,Straggler 650b Black,,Black,1549.00,1549.00,1050.00,BK0538,TW,No,EA,33.50,50.50,29.00,8.00,No,Surly Straggler 650b Complete Bike 38cm Apex Black,,,,
BK0542,708752130449,Cyclocross Bike,Surly,K3205,Straggler 650b Black,,Black,1549.00,1549.00,1050.00,BK0542,TW,No,EA,33.48,50.50,29.00,8.00,No,Surly Straggler 650b Complete Bike 42cm Apex Black,,,,
BK0646,708752093355,Road Bike,Surly,33045,Pacer,,Red Flake,1649.00,1649.00,1110.00,,TW,No,EA,30.75,51.00,29.00,8.00,No,Surly Pacer Bike 46cm Red Flake,,,,
BK0650,708752093362,Road Bike,Surly,33045,Pacer,,Red Flake,1649.00,1649.00,1110.00,,TW,No,EA,30.75,51.00,29.00,8.00,No,Surly Pacer Bike 50cm Red Flake,,,,
BK0652,708752093379,Road Bike,Surly,33045,Pacer,,Red Flake,1649.00,1649.00,1110.00,,TW,No,EA,30.75,51.00,29.00,8.00,No,Surly Pacer Bike 52cm Red Flake,,,,
BK0700,708752157460,Road Bike,Surly,K4591,Midnight Special Bike - Hot Mayonnaise,,Hot ,1799.00,1799.00,1225.00,,TW,No,EA,42.50,60.00,11.00,32.00,No,Surly Midnight Special Complete Bike 40cm Hot Mayonnaise,,,,
BK0701,708752157392,Road Bike,Surly,K4591,Midnight Special Bike - Hot Mayonnaise,,Hot ,1799.00,1799.00,1225.00,,TW,No,EA,42.50,60.00,11.00,32.00,No,Surly Midnight Special Complete Bike 46cm Hot Mayonnaise,,,,
BK0702,708752157323,Road Bike,Surly,K4591,Midnight Special Bike - Hot Mayonnaise,,Hot ,1799.00,1799.00,1225.00,,TW,No,EA,42.50,60.00,11.00,32.00,No,Surly Midnight Special Complete Bike 50cm Hot Mayonnaise,,,,
BK0703,708752157255,Road Bike,Surly,K4591,Midnight Special Bike - Hot Mayonnaise,,Hot ,1799.00,1799.00,1225.00,,TW,No,EA,42.50,60.00,11.00,32.00,No,Surly Midnight Special Complete Bike 54cm Hot Mayonnaise,,,,
BK0704,708752157187,Road Bike,Surly,K4591,Midnight Special Bike - Hot Mayonnaise,,Hot ,1799.00,1799.00,1225.00,,TW,No,EA,42.50,60.00,11.00,32.00,No,Surly Midnight Special Complete Bike 56cm Hot Mayonnaise,,,,
BK0705,708752157118,Road Bike,Surly,K4591,Midnight Special Bike - Hot Mayonnaise,,Hot ,1799.00,1799.00,1225.00,,TW,No,EA,42.50,60.00,11.00,32.00,No,Surly Midnight Special Complete Bike 58cm Hot Mayonnaise,,,,
BK0706,708752157040,Road Bike,Surly,K4591,Midnight Special Bike - Hot Mayonnaise,,Hot ,1799.00,1799.00,1225.00,,TW,No,EA,42.50,60.00,11.00,32.00,No,Surly Midnight Special Complete Bike 60cm Hot Mayonnaise,,,,
BK0707,708752156975,Road Bike,Surly,K4591,Midnight Special Bike - Hot Mayonnaise,,Hot ,1799.00,1799.00,1225.00,,TW,No,EA,42.50,60.00,11.00,32.00,No,Surly Midnight Special Complete Bike 64cm Hot Mayonnaise,,,,
BK0791,,Touring Bike,Surly,K4476,Ogre Brown,,Brown,1699.00,1699.00,1155.00,,TW,No,,39.00,58.00,31.00,9.00,No,Surly Ogre Complete Bike SM Rover Brown,,,,
BK0792,,Touring Bike,Surly,K4476,Ogre Brown,,Brown,1699.00,1699.00,1155.00,,TW,No,,43.30,57.50,31.50,8.25,No,Surly Ogre Complete Bike MD Rover Brown,,,,
BK0793,,Touring Bike,Surly,K4476,Ogre Brown,,Brown,1699.00,1699.00,1155.00,,TW,No,,39.00,58.00,31.00,9.00,No,Surly Ogre Complete Bike LG Rover Brown,,,,
BK0794,,Touring Bike,Surly,K4476,Ogre Brown,,Brown,1699.00,1699.00,1155.00,,TW,No,,43.70,59.00,32.00,8.50,No,Surly Ogre Complete Bike XL Rover Brown,,,,
BK0805,708752139633,Mountain Bike,Surly,K3799,"Karate Monkey 29"" Stand Back Purple",,Purple,1199.00,1199.00,800.00,,TW,No,EA,36.00,58.00,8.00,32.00,No,Surly Karate Monkey Bike XS Stand Back Purple,,,,
BK0806,708752139589,Mountain Bike,Surly,K3799,"Karate Monkey 29"" Stand Back Purple",,Purple,1199.00,1199.00,815.00,,TW,No,EA,38.30,56.75,31.50,8.75,No,Surly Karate Monkey Bike SM Stand Back Purple,,,,
BK0806,708752139589,Mountain Bike,Surly,K3799,"Karate Monkey 29"" Stand Back Purple",,Stand Back ,1199.00,1199.00,815.00,,TW,No,EA,38.30,56.75,31.50,8.75,No,Surly Karate Monkey Bike SM Stand Back Purple,,,,
BK0807,708752139534,Mountain Bike,Surly,K3799,"Karate Monkey 29"" Stand Back Purple",,Purple,1199.00,1199.00,815.00,,TW,No,EA,38.95,57.00,31.00,9.00,No,Surly Karate Monkey Bike MD Stand Back Purple,,,,
BK0807,708752139534,Mountain Bike,Surly,K3799,"Karate Monkey 29"" Stand Back Purple",,Stand Back ,1199.00,1199.00,815.00,,TW,No,EA,38.95,57.00,31.00,9.00,No,Surly Karate Monkey Bike MD Stand Back Purple,,,,
BK0808,708752139480,Mountain Bike,Surly,K3799,"Karate Monkey 29"" Stand Back Purple",,Purple,1199.00,1199.00,815.00,,TW,No,EA,36.00,58.00,32.00,8.00,No,Surly Karate Monkey Bike LG Stand Back Purple,,,,
BK0808,708752139480,Mountain Bike,Surly,K3799,"Karate Monkey 29"" Stand Back Purple",,Stand Back ,1199.00,1199.00,815.00,,TW,No,EA,36.00,58.00,32.00,8.00,No,Surly Karate Monkey Bike LG Stand Back Purple,,,,
BK0809,708752139435,Mountain Bike,Surly,K3799,"Karate Monkey 29"" Stand Back Purple",,Purple,1199.00,1199.00,815.00,,TW,No,EA,36.00,58.00,32.00,8.00,No,Surly Karate Monkey Bike XL Stand Back Purple,,,,
BK0809,708752139435,Mountain Bike,Surly,K3799,"Karate Monkey 29"" Stand Back Purple",,Stand Back ,1199.00,1199.00,815.00,,TW,No,EA,36.00,58.00,32.00,8.00,No,Surly Karate Monkey Bike XL Stand Back Purple,,,,
BK0980,708752196865,Cyclocross Bike,Surly,K6108,Straggler 650b Black,,Black,1549.00,1549.00,1050.00,,TW,No,EA,30.00,54.00,32.00,8.00,No,Surly Straggler 650b Complete Bike 38cm Gloss Black,,,,
BK0981,708752196889,Cyclocross Bike,Surly,K6108,Straggler 650b Black,,Black,1549.00,1549.00,1050.00,,TW,No,EA,30.00,54.00,32.00,8.00,No,Surly Straggler 650b Complete Bike 42cm Gloss Black,,,2018-04-28,
BK0982,708752196902,Cyclocross Bike,Surly,K6108,Straggler 650b Black,,Black,1549.00,1549.00,1050.00,,TW,No,EA,30.00,54.00,8.00,32.00,No,Surly Straggler 650b Complete Bike 46cm Gloss Black,,,,
BK0983,708752196926,Cyclocross Bike,Surly,K6108,Straggler 650b Black,,Black,1549.00,1549.00,1050.00,,TW,No,EA,36.00,52.50,29.75,9.00,No,Surly Straggler 650b Complete Bike 50cm Gloss Black,,,,
BK0990,708752196940,Cyclocross Bike,Surly,K6109,Straggler 700c Black MY18,,Black,1549.00,1549.00,1050.00,,TW,No,EA,35.00,53.00,30.00,8.00,No,Surly Straggler 700c Complete Bike 52cm Black MY18,,,,
BK0991,708752196964,Cyclocross Bike,Surly,K6109,Straggler 700c Black MY18,,Black,1549.00,1549.00,1050.00,,TW,No,EA,35.70,52.50,29.50,8.00,No,Surly Straggler 700c Complete Bike 54cm Black MY18,,,,
BK0992,708752196988,Cyclocross Bike,Surly,K6109,Straggler 700c Black MY18,,Black,1549.00,1549.00,1050.00,,TW,No,EA,35.00,53.00,30.00,8.00,No,Surly Straggler 700c Complete Bike 56cm Black MY18,,,,
BK0993,708752197008,Cyclocross Bike,Surly,K6109,Straggler 700c Black MY18,,Black,1549.00,1549.00,1050.00,,TW,No,EA,35.00,53.00,32.00,8.00,No,Surly Straggler 700c Complete Bike 58cm Black MY18,,,2018-04-28,
BK0994,708752197022,Cyclocross Bike,Surly,K6109,Straggler 700c Black MY18,,Black,1549.00,1549.00,1050.00,,TW,No,EA,36.00,53.00,32.00,8.00,No,Surly Straggler 700c Complete Bike 60cm Black MY18,,,,
BK0995,708752197046,Cyclocross Bike,Surly,K6109,Straggler 700c Black MY18,,Black,1549.00,1549.00,1050.00,,TW,No,EA,36.00,53.00,33.00,8.00,No,Surly Straggler 700c Complete Bike 62cm Black MY18,,,,
BK1415,708752139138,Fat Bike,Surly,K3816,Pugsley Complete Bike Candied Yam ,,Candied Yam ,1849.00,1849.00,1257.50,,TW,No,EA,46.75,55.00,31.00,11.50,No,Surly Pugsley Complete Bike XS Candied Yam Orange,,,,
BK1416,708752139084,Fat Bike,Surly,K3816,Pugsley Complete Bike Candied Yam ,,Candied Yam ,1849.00,1849.00,1257.50,,TW,No,EA,46.75,55.00,31.00,11.50,No,Surly Pugsley Complete Bike SM Candied Yam Orange,,,,
BK1417,708752139039,Fat Bike,Surly,K3816,Pugsley Complete Bike Candied Yam ,,Candied Yam ,1849.00,1849.00,1257.50,,TW,No,EA,46.75,55.00,31.00,11.50,No,Surly Pugsley Complete Bike MD Candied Yam Orange,,,2018-04-28,
BK1418,708752138988,Fat Bike,Surly,K3816,Pugsley Complete Bike Candied Yam ,,Candied Yam ,1849.00,1849.00,1257.50,,TW,No,EA,46.75,55.00,31.00,11.50,No,Surly Pugsley Complete Bike LG Candied Yam Orange,,,,
BK1419,708752138933,Fat Bike,Surly,K3816,Pugsley Complete Bike Candied Yam ,,Candied Yam ,1849.00,1849.00,1257.50,,TW,No,EA,46.75,55.00,31.00,11.50,No,Surly Pugsley Complete Bike XL Candied Yam Orange,,,,
BK1490,708752156173,Touring Bike,Surly,K4593,Pack Rat Bike - Get In Green,,Get in Green,1349.00,1349.00,915.00,,TW,No,EA,30.00,54.00,8.00,32.00,No,Surly Pack Rat 26 Complete Bike 38cm Get In Green,,,,
BK1491,708752156104,Touring Bike,Surly,K4593,Pack Rat Bike - Get In Green,,Get in Green,1349.00,1349.00,915.00,,TW,No,EA,30.00,54.00,8.00,32.00,No,Surly Pack Rat 26 Complete Bike 42cm Get In Green,,,2018-04-28,
BK1492,708752156036,Touring Bike,Surly,K4593,Pack Rat Bike - Get In Green,,Get in Green,1349.00,1349.00,915.00,,TW,No,EA,30.00,54.00,8.00,32.00,No,Surly Pack Rat 26 Complete Bike 46cm Get In Green,,,2018-04-28,
BK1493,708752155961,Touring Bike,Surly,K4593,Pack Rat Bike - Get In Green,,Get in Green,1349.00,1349.00,915.00,,TW,No,EA,30.00,54.00,8.00,32.00,No,Surly Pack Rat 26 Complete Bike 50cm Get In Green,,,2018-04-28,
BK1494,708752155893,Touring Bike,Surly,K4593,Pack Rat Bike - Get In Green,,Get in Green,1349.00,1349.00,915.00,,TW,No,EA,30.00,54.00,8.00,32.00,No,Surly Pack Rat 650b Complete Bike 52cm Get In Green,,,2018-04-27,
BK1495,708752155824,Touring Bike,Surly,K4593,Pack Rat Bike - Get In Green,,Get in Green,1349.00,1349.00,915.00,,TW,No,EA,30.00,54.00,8.00,32.00,No,Surly Pack Rat 650b Complete Bike 54cm Get In Green,,,2018-05-01,
BK1496,708752155756,Touring Bike,Surly,K4593,Pack Rat Bike - Get In Green,,Get in Green,1349.00,1349.00,915.00,,TW,No,EA,30.00,54.00,8.00,32.00,No,Surly Pack Rat 650b Complete Bike 56cm Get In Green,,,2018-04-27,
BK1497,708752155688,Touring Bike,Surly,K4593,Pack Rat Bike - Get In Green,,Get in Green,1349.00,1349.00,915.00,,TW,No,EA,30.00,54.00,8.00,32.00,No,Surly Pack Rat 650b Complete Bike 58cm Get In Green,,,2018-04-27,
BK1521,708752224223,Mountain Bike,Surly,K5843,Krampus Complete Bike - Dark Black,,Black,1499.00,1499.00,1020.00,,TW,No,EA,45.60,58.25,9.50,31.25,No,Surly Krampus Complete Bike SM Dark Black,,,,
BK1522,708752224230,Mountain Bike,Surly,K5843,Krampus Complete Bike - Dark Black,,Black,1499.00,1499.00,1020.00,,TW,No,EA,46.20,58.25,9.50,31.25,No,Surly Krampus Complete Bike MD Dark Black,,,,
BK1523,708752224247,Mountain Bike,Surly,K5843,Krampus Complete Bike - Dark Black,,Black,1499.00,1499.00,1020.00,,TW,No,EA,46.45,58.25,9.50,31.25,No,Surly Krampus Complete Bike LG Dark Black,,,,
BK1524,708752224254,Mountain Bike,Surly,K5843,Krampus Complete Bike - Dark Black,,Black,1499.00,1499.00,1020.00,,TW,No,EA,46.70,58.25,9.50,31.25,No,Surly Krampus Complete Bike XL Dark Black,,,,
BK1621,708752140240,Fat Bike,Surly,K3823,Ice Cream Truck Banana Candy Yellow,,Banana Candy ,1999.00,1999.00,1360.00,,TW,No,EA,45.00,56.00,12.00,31.00,No,Surly Ice Cream Truck Bike: Banana Candy Yellow SM,,,,
BK1622,708752140196,Fat Bike,Surly,K3823,Ice Cream Truck Banana Candy Yellow,,Banana Candy ,1999.00,1999.00,1360.00,,TW,No,EA,45.00,56.00,31.00,12.00,No,Surly Ice Cream Truck Bike: Banana Candy Yellow MD,,,,
