ProdID,UPC,Category,Brand,Model,Model Description,Size,Color,MSRP,MAP,Each Cost,Manufacturer Prod,COO,Discontinued,UOM,Weight,Length,Width,Height,ORMD,Product Description,Replacement,Substitute,Recently Updated,
AB3501,708752156647,Casual Pants,Surly,MSURLY02,Pants,32,Black,95.00,95.00,55.00,04-000738,CN,No,EA,0.78,20.00,13.00,0.80,No,Surly Men's Pants: Black 32W x 32L,,,,
AB3502,708752156630,Casual Pants,Surly,MSURLY02,Pants,34,Black,95.00,95.00,55.00,04-000738,CN,No,EA,0.78,20.00,13.00,0.80,No,Surly Men's Pants: Black 34W x 32L,,,,
AB3503,708752156623,Casual Pants,Surly,MSURLY02,Pants,34,Black,95.00,95.00,55.00,04-000738,CN,No,EA,1.60,16.25,14.25,1.50,No,Surly Men's Pants: Black 34W x 36L,,,,
AB3504,708752156616,Casual Pants,Surly,MSURLY02,Pants,36,Black,95.00,95.00,55.00,04-000738,CN,No,EA,1.55,12.00,8.25,2.00,No,Surly Men's Pants: Black 36W x 32L,,,,
AB3505,708752156609,Casual Pants,Surly,MSURLY02,Pants,36,Black,95.00,95.00,55.00,04-000738,CN,No,EA,1.60,17.00,14.75,1.50,No,Surly Men's Pants: Black 36W x 36L,,,,
AB3507,708752156586,Casual Pants,Surly,MSURLY02,Pants,38,Black,95.00,95.00,55.00,04-000738,CN,No,EA,1.75,12.00,8.25,2.00,No,Surly Men's Pants: Black 38W x 36L,,,,
AB3508,708752156579,Casual Pants,Surly,MSURLY02,Pants,40,Black,95.00,95.00,55.00,04-000738,CN,No,EA,1.70,12.00,8.25,2.00,No,Surly Men's Pants: Black 40W x 32L,,,,
AB3509,708752156562,Casual Pants,Surly,MSURLY02,Pants,40,Black,95.00,95.00,55.00,04-000738,CN,No,EA,1.80,12.00,8.25,2.00,No,Surly Men's Pants: Black 40W x 36L,,,,
AB3511,708752156548,Casual Pants,Surly,MSURLY02,Pants,32,Olive Green,95.00,95.00,55.00,04-000738,CN,No,EA,1.40,16.00,13.50,1.50,No,Surly Men's Pants: Olive Green 32W x 32L,,,,
AB3512,708752166837,Casual Pants,Surly,MSURLY02,Pants,34,Olive Green,95.00,95.00,55.00,04-000738,CN,No,EA,0.78,20.00,13.00,0.80,No,Surly Men's Pants: Olive Green 34W x 32L,,,,
AB3513,708752166820,Casual Pants,Surly,MSURLY02,Pants,34,Olive Green,95.00,95.00,55.00,04-000738,CN,No,EA,1.55,12.00,8.25,2.00,No,Surly Men's Pants: Olive Green 34W x 36L,,,,
AB3514,708752166813,Casual Pants,Surly,MSURLY02,Pants,36,Olive Green,95.00,95.00,55.00,04-000738,CN,No,EA,1.55,12.00,8.25,2.00,No,Surly Men's Pants: Olive Green 36W x 32L,,,,
AB3515,708752166806,Casual Pants,Surly,MSURLY02,Pants,36,Olive Green,95.00,95.00,55.00,04-000738,CN,No,EA,1.65,16.50,14.50,1.50,No,Surly Men's Pants: Olive Green 36W x 36L,,,,
AB3516,708752166790,Casual Pants,Surly,MSURLY02,Pants,38,Olive Green,95.00,95.00,55.00,04-000738,CN,No,EA,1.60,16.25,15.00,1.50,No,Surly Men's Pants: Olive Green 38W x 32L,,,,
AB3517,708752166783,Casual Pants,Surly,MSURLY02,Pants,38,Olive Green,95.00,95.00,55.00,04-000738,CN,No,EA,1.65,12.00,8.25,2.00,No,Surly Men's Pants: Olive Green 38W x 36L,,,,
AB3518,708752166776,Casual Pants,Surly,MSURLY02,Pants,40,Olive Green,95.00,95.00,55.00,04-000738,CN,No,EA,1.65,12.00,8.25,2.00,No,Surly Men's Pants: Olive Green 40W x 32L,,,,
AB3519,708752166769,Casual Pants,Surly,MSURLY02,Pants,40,Olive Green,95.00,95.00,55.00,04-000738,CN,No,EA,1.75,12.00,8.25,2.00,No,Surly Men's Pants: Olive Green 40W x 36L,,,,
BG0100,708752144033,Tool Wrap,Surly,MSURLY36,Tool Bag,,,12.00,12.00,6.00,04-000601,TW,No,EA,0.12,9.00,8.75,0.25,No,Surly Tool Bag,,,2018-05-02,
BG0118,708752162532,Bag Accessories,Surly,MSURLY80,Porteur Bag Liner,,,24.00,24.00,12.00,BG0118,TW,No,SET,0.30,0.00,7.25,3.50,No,Surly Porteur Bag Liners set of 3,,,,
BG0120,708752204607,Bag Accessories,Surly,MSURLY80,Porteur Bag Liner,,,28.00,28.00,14.00,RB-0090,TW,No,EA,0.30,8.50,7.25,3.50,No,Surly Petite Porteur Bag Liners: Set of 4,,,,
BG0121,708752216051,Handlebar Bag,Surly,MSURLY93,Moloko Adjunct,,Black,60.00,60.00,36.00,HB-0056-000,TW,No,EA,0.55,10.50,4.25,4.00,No,Surly Adjunct Personal Effects Moloko Handlebar Bag,,,,
BG5830,708752137080,Frame Pack,Surly,MSURLY54,Straggle-Check Frame Bag,,Black,185.00,185.00,115.00,STRAGGLE-CHECK 38/42,US,No,EA,0.86,22.50,7.50,2.50,No,Surly Straggle-Check Frame Bag for size 38/42 Cross Check and Stragglers,,,,
BG5831,708752137073,Frame Pack,Surly,MSURLY54,Straggle-Check Frame Bag,,Black,185.00,185.00,115.00,STRAGGLE-CHECK 46,US,No,EA,0.88,22.25,7.75,2.75,No,Surly Straggle-Check Frame Bag for size 46 Cross Check and Stragglers,,,,
BG5832,708752137066,Frame Pack,Surly,MSURLY54,Straggle-Check Frame Bag,,Black,185.00,185.00,115.00,STRAGGLE-CHECK 50,US,No,EA,0.92,22.00,7.50,2.50,No,Surly Straggle-Check Frame Bag for size 50 Cross Check and Stragglers,,,,
BG5833,708752137059,Frame Pack,Surly,MSURLY54,Straggle-Check Frame Bag,,Black,185.00,185.00,115.00,STRAGGLE-CHECK 52,US,No,EA,0.88,22.25,7.75,2.75,No,Surly Straggle-Check Frame Bag for size 52 Cross Check and Stragglers,,,,
BG5834,708752137042,Frame Pack,Surly,MSURLY54,Straggle-Check Frame Bag,,Black,185.00,185.00,115.00,STRAGGLE-CHECK 54,US,No,EA,0.98,23.00,9.25,3.50,No,Surly Straggle-Check Frame Bag for size 54 Cross Check and Stragglers,,,,
BG5835,708752137035,Frame Pack,Surly,MSURLY54,Straggle-Check Frame Bag,,Black,185.00,185.00,115.00,STRAGGLE-CHECK 56,US,No,EA,1.03,23.75,9.00,3.25,No,Surly Straggle-Check Frame Bag for size 56 Cross Check and Stragglers,,,,
BG5836,708752137028,Frame Pack,Surly,MSURLY54,Straggle-Check Frame Bag,,Black,185.00,185.00,115.00,STRAGGLE-CHECK 58,US,No,EA,1.10,22.50,7.50,2.50,No,Surly Straggle-Check Frame Bag for size 58 Cross Check and Stragglers,,,,
BG5837,708752137011,Frame Pack,Surly,MSURLY54,Straggle-Check Frame Bag,,Black,185.00,185.00,115.00,STRAGGLE-CHECK 60,US,No,EA,1.18,24.50,9.75,2.75,No,Surly Straggle-Check Frame Bag for size 60 Cross Check and Stragglers,,,,
BG5838,708752137004,Frame Pack,Surly,MSURLY54,Straggle-Check Frame Bag,,Black,185.00,185.00,115.00,STRAGGLE-CHECK 62,US,No,EA,1.22,22.50,7.50,2.50,No,Surly Straggle-Check Frame Bag for size 62 Cross Check and Stragglers,,,,
BG5839,708752136991,Frame Pack,Surly,MSURLY54,Straggle-Check Frame Bag,,Black,185.00,185.00,115.00,STRAGGLE-CHECK 64,US,No,EA,1.18,25.75,7.00,2.50,No,Surly Straggle-Check Frame Bag for size 64 Cross Check and Stragglers,,,,
BG5840,708752143166,Frame Pack,Surly,27019,Karate Monkey / Ogre / Troll / 1x1 / ,,Black,170.00,170.00,102.50,BAG 6,US,No,EA,0.74,22.00,8.75,2.50,No,Surly Frame Bag 6 for Karate Monkey Ogre Troll 1x1 Krampus,,,,
BG5841,708752143159,Frame Pack,Surly,27019,Karate Monkey / Ogre / Troll / 1x1 / ,,Black,170.00,170.00,102.50,BAG 7,US,No,EA,0.82,23.50,6.50,2.00,No,Surly Frame Bag 7 for Karate Monkey Ogre Troll 1x1 Krampus,,,,
BG5842,708752143142,Frame Pack,Surly,27019,Karate Monkey / Ogre / Troll / 1x1 / ,,Black,170.00,170.00,102.50,BAG 8,US,No,EA,0.90,23.25,6.75,3.50,No,Surly Frame Bag 8 for Karate Monkey Ogre Troll 1x1 Krampus,,,,
BG5843,708752143135,Frame Pack,Surly,27019,Karate Monkey / Ogre / Troll / 1x1 / ,,Black,170.00,170.00,102.50,BAG 9,US,No,EA,0.98,24.25,8.75,4.00,No,Surly Frame Bag 9 for Karate Monkey Ogre Troll 1x1 Krampus,,,,
BG5844,708752143128,Frame Pack,Surly,27019,Karate Monkey / Ogre / Troll / 1x1 / ,,Black,170.00,170.00,102.50,BAG 10,US,No,EA,1.04,24.50,8.75,2.50,No,Surly Frame Bag 10 for Karate Monkey Ogre Troll 1x1 Krampus,,,,
BG8001,708752131217,Rack Bag,Surly,MSURLY38,Porteur House,,Black,120.00,120.00,72.00,BG8001,TW,No,EA,3.33,17.75,12.00,3.75,No,Surly Porteur House Bag,,,,
BG8002,708752204621,Rack Bag,Surly,MSURLY558,Petite Porteur House,,,100.00,100.00,60.00,RB-0090,TW,No,EA,2.20,15.50,8.75,4.00,No,Surly Petite Porteur House Bag: Black,,,,
BK0040,708752184336,Touring Bike,Surly,K5865,Troll Pea Lime Pie Soup,,Pea Lime Pie ,1699.00,1699.00,1155.00,,TW,No,EA,40.65,53.50,30.25,8.50,No,Surly Troll Complete Bike XS Pea Lime Pie Soup,,,,
BK0041,708752184350,Touring Bike,Surly,K5865,Troll Pea Lime Pie Soup,,Pea Lime Pie ,1699.00,1699.00,1155.00,,TW,No,EA,40.90,53.75,30.50,8.25,No,Surly Troll Complete Bike SM Pea Lime Pie Soup,,,,
BK0042,708752184374,Touring Bike,Surly,K5865,Troll Pea Lime Pie Soup,,Pea Lime Pie ,1699.00,1699.00,1155.00,,TW,No,EA,41.35,54.50,30.50,8.25,No,Surly Troll Complete Bike MD Pea Lime Pie Soup,,,,
BK0043,708752184398,Touring Bike,Surly,K5865,Troll Pea Lime Pie Soup,,Pea Lime Pie ,1699.00,1699.00,1155.00,,TW,No,EA,41.85,55.50,31.00,8.25,No,Surly Troll Complete Bike LG Pea Lime Pie Soup,,,,
